f_Hz,Sn_Hz^-1
7.951521271988373e-05,8.154514722760621e-33
7.997448935241442e-05,7.881526607000649e-33
8.043641874808295e-05,7.61771996373449e-33
8.090101622914111e-05,7.362785004456062e-33
8.136829720634132e-05,7.116422415788493e-33
8.183827717944845e-05,6.87834300475997e-33
8.231097173775265e-05,6.648267356104601e-33
8.278639656058789e-05,6.425925501178081e-33
8.326456741785082e-05,6.211056598096914e-33
8.374550017052435e-05,6.0034086227183306e-33
8.42292107712043e-05,5.802738070094043e-33
8.47157152646274e-05,5.6088096660433645e-33
8.520502978820473e-05,5.421396088500663e-33
8.569717057255578e-05,5.24027769830773e-33
8.619215394204809e-05,5.0652422791286675e-33
8.66899963153374e-05,4.8960847861799543e-33
8.719071420591362e-05,4.732607103474704e-33
8.769432422264742e-05,4.574617809294253e-33
8.820084307034158e-05,4.421931949606623e-33
8.871028755028572e-05,4.2743708191628425e-33
8.922267456081227e-05,4.131761750011463e-33
8.97380210978585e-05,3.993937907178173e-33
9.025634425552893e-05,3.86073809126927e-33
9.0777661226663e-05,3.7320065477627796e-33
9.130198930340576e-05,3.607592782761141e-33
9.18293458777803e-05,3.487351384986573e-33
9.235974844226608e-05,3.371141853806535e-33
9.28932145903776e-05,3.258828433086004e-33
9.342976201724962e-05,3.150279950667776e-33
9.396940852022246e-05,3.0453696632911714e-33
9.451217199943392e-05,2.943975106763554e-33
9.505807045841173e-05,2.845977951207716e-33
9.560712200467121e-05,2.7512638612121283e-33
9.615934485031658e-05,2.6597223607182012e-33
9.671475731264365e-05,2.571246702484252e-33
9.727337781474893e-05,2.485733741970268e-33
9.783522488613943e-05,2.4030838154944763e-33
9.840031716334782e-05,2.323200622516167e-33
9.896867339055124e-05,2.2459911119052205e-33
9.95403124201916e-05,2.1713653720634056e-33
0.0001001152532136026,2.0992365247662583e-33
0.0001006935148416371,2.0295206226001954e-33
0.00010127511648530081,1.9621365498722847e-33
0.00010186007743638809,1.89700592687546e-33
0.0001024484170981219,1.834053017395213e-33
0.00010304015498579751,1.7732046393479574e-33
0.00010363531072742938,1.7143900784449496e-33
0.00010423390406440324,1.657541004779053e-33
0.0001048359548521296,1.6025913922356553e-33
0.00010544148306070337,1.549477440631547e-33
0.00010605050877556598,1.4981375004896997e-33
0.00010666305219817106,1.4485120003604684e-33
0.0001072791336466558,1.400543376602781e-33
0.00010789877355651325,1.3541760055423372e-33
0.00010852199248127194,1.3093561379257502e-33
0.00010914881109317595,1.2660318355933755e-33
0.0001097792501838718,1.224152910295159e-33
0.00011041333066509779,1.183670864577239e-33
0.00011105107356937706,1.1445388346690039e-33
0.0001116925000507166,1.1067115353027269e-33
0.00011233763138530723,1.0701452064005894e-33
0.00011298648897223066,1.0347975615654664e-33
0.0001136390943341687,1.0006277383146444e-33
0.00011429546911811735,9.675962499972958e-34
0.0001149556350961048,9.356649393386892e-34
0.00011561961416591321,9.047969335560611e-34
0.0001162874283518062,8.749566009928149e-34
0.00011695909980525784,8.461095092197951e-34
0.0001176346508056887,8.18222384553716e-34
0.00011831410376120421,7.91263072944935e-34
0.00011899748120933815,7.652005021880838e-34
0.00011968480581780029,7.400046454107814e-34
0.00012037610038522768,7.156464857971753e-34
0.00012107138784194222,6.92097982504382e-34
0.00012177069125070955,6.693320377316197e-34
0.00012247403380750543,6.473224649027673e-34
0.00012318143884228444,6.26043957924837e-34
0.0001238929298197541,6.054720614858121e-34
0.00012460853034015326,5.855831423567059e-34
0.00012532826414003422,5.663543616638399e-34
0.00012605215509305155,5.4776364809842095e-34
0.0001267802272107522,5.297896720318247e-34
0.00012751250464337332,5.124118205057482e-34
0.0001282490116806428,4.956101730677527e-34
0.00012898977275258488,4.7936547842350386e-34
0.00012973481243033088,4.636591318780761e-34
0.0001304841554269334,4.484731535396344e-34
0.0001312378265981875,4.337901672596242e-34
0.00013199585094345346,4.195933802846457e-34
0.0001327582536064873,4.058665635957941e-34
0.0001335250598762743,3.925940329123059e-34
0.00013429629518786783,3.7976063033697104e-34
0.00013507198512323324,3.673517066216047e-34
0.00013585215541209574,3.5535310403160683e-34
0.00013663683193279532,3.4375113978929343e-34
0.00013742604071314326,3.3253259007649605e-34
0.00013821980793128698,3.2168467457740306e-34
0.00013901815991657784,3.1119504154344528e-34
0.0001398211231504438,3.0105175336253214e-34
0.00014062872426726957,2.912432726155431e-34
0.0001414409900552778,2.8175844860367063e-34
0.00014225794745741996,2.7258650433058206e-34
0.00014307962357226794,2.637170239241155e-34
0.00014390604565491438,2.5513994048255684e-34
0.00014473724111787632,2.4684552433119416e-34
0.00014557323753200372,2.3882437167525215e-34
0.00014641406262739574,2.310673936357771e-34
0.00014725974429431838,2.235658056555793e-34
0.0001481103105841313,2.163111172626453e-34
0.00014896578971021753,2.0929512217899153e-34
0.0001498262100489194,2.0250988876324486e-34
0.00015069160014048012,1.959477507756731e-34
0.00015156198868998937,1.8960129845477546e-34
0.00015243740456833752,1.8346336989486378e-34
0.00015331787681317088,1.775270427145159e-34
0.0001542034346298566,1.7178562600600224e-34
0.00015509410739245074,1.6623265255623896e-34
0.0001559899246446727,1.6086187133006222e-34
0.00015689091610088533,1.5566724020696314e-34
0.00015779711164707987,1.5064291896272445e-34
0.00015870854134186887,1.4578326248765903e-34
0.0001596252354174811,1.410828142334918e-34
0.00016054722428076614,1.3653629988111514e-34
0.00016147453851420203,1.3213862122178877e-34
0.00016240720887691012,1.2788485024455178e-34
0.00016334526630567517,1.2377022342288874e-34
0.00016428874191597105,1.1979013619391562e-34
0.00016523766700299444,1.1594013762357296e-34
0.0001661920730427006,1.122159252515657e-34
0.0001671519916928493,1.0861334010994673e-34
0.00016811745479405416,1.0512836190950438e-34
0.00016908849437083883,1.0175710438827458e-34
0.0001700651426326994,9.849581081670344e-35
0.0001710474319751722,9.534084965417351e-35
0.00017203539498090987,9.228871035177304e-35
0.00017302906442076004,8.933599929638822e-35
0.00017402847325485404,8.647943589132419e-35
0.00017503365463369965,8.371584876886216e-35
0.0001760446418992799,8.104217213029508e-35
0.00017706146858616093,7.845544220912745e-35
0.00017808416842260186,7.595279385330385e-35
0.0001791127753316762,7.353145722242135e-35
0.00018014732343239458,7.118875459607271e-35
0.0001811878470408383,6.892209728954575e-35
0.00018223438067129692,6.672898267327364e-35
0.00018328695903741253,6.460699129252741e-35
0.00018434561705333295,6.255378408396527e-35
0.00018541038983486751,6.05670996857838e-35
0.00018648131270065368,5.864475183829681e-35
0.00018755842117332782,5.678462687190439e-35
0.0001886417509807036,5.49846812794988e-35
0.0001897313380569572,5.324293937045992e-35
0.00019082721854381843,5.155749100349074e-35
0.00019192942879177162,4.992648939562913e-35
0.00019303800536125864,4.834814900487691e-35
0.00019415298502389376,4.682074348395202e-35
0.0001952744047636824,4.5342603702776153e-35
0.00019640230177824812,4.391211583737533e-35
0.0001975367134800666,4.252771952295628e-35
0.0001986776774977057,4.1187906068996796e-35
0.00019982523167707568,3.989121673425531e-35
0.00020097941408268194,3.8636241059689826e-35
0.00020214026299888963,3.742161525732347e-35
0.00020330781693119268,3.624602065318074e-35
0.0002044821146074912,3.5108182182468483e-35
0.0002056631949793762,3.4006866935242524e-35
0.00020685109722342078,3.2940882750860524e-35
0.00020804586074248168,3.190907685957427e-35
0.00020924752516700352,3.091033456968104e-35
0.00021045613035633565,2.9943577998691044e-35
0.0002116717164000531,2.9007764847036117e-35
0.0002128943236192867,2.8101887212883726e-35
0.00021412399256806068,2.722497044667335e-35
0.00021536076403463685,2.637607204403938e-35
0.0002166046790428698,2.555428057582496e-35
0.00021785577885356477,2.4758714653944966e-35
0.0002191141049658486,2.3988521931884055e-35
0.00022037969911854519,2.3242878138670934e-35
0.00022165260329156013,2.252098614519884e-35
0.00022293285970727348,2.1822075061805718e-35
0.0002242205108319392,2.1145399366062604e-35
0.00022551559937709618,2.0490238059752425e-35
0.00022681816830098176,1.9855893854061776e-35
0.00022812826080995926,1.924169238203171e-35
0.00022944592035995022,1.8646981437355352e-35
0.00023077119065787488,1.8071130238635174e-35
0.00023210411566310449,1.751352871824244e-35
0.00023344473958891596,1.697358683495639e-35
0.00023479310690396218,1.6450733909578097e-35
0.00023614926233374352,1.5944417982753358e-35
0.00023751325086209397,1.545410519425289e-35
0.0002388851177326723,1.4979279182992942e-35
0.00024026490845046187,1.4519440507098177e-35
0.00024165266878328268,1.4074106083332673e-35
0.000243048444763306,1.3642808645251907e-35
0.00024445228268858417,1.3225096219442974e-35
0.0002458642291245848,1.2820531619249309e-35
0.0002472843309057359,1.242869195539115e-35
0.0002487126351369793,1.2049168162915203e-35
0.0002501491891953322,1.1681564543925936e-35
0.00025159404073146134,1.1325498325567496e-35
0.00025304723767125974,1.0980599232747459e-35
0.0002545088282174397,1.0646509075104389e-35
0.00025597886085113004,1.0322881347744459e-35
0.00025745738433348463,1.0009380845283754e-35
0.0002589444477073001,9.705683288750579e-36
0.00026044010029864116,9.411474964917064e-36
0.00026194439171847966,9.126452377642186e-36
0.0002634573718643367,8.850321910825688e-36
0.0002649790909219404,8.582799502581576e-36
0.0002665095993668894,8.323610330256967e-36
0.00026804894796632713,8.072488505932242e-36
0.0002695971877806266,7.82917678205137e-36
0.00027115437016508203,7.593426266843891e-36
0.00027272054677161584,7.364996149209206e-36
0.0002742957695504879,7.143653432748588e-36
0.0002758800907520217,6.929172678636416e-36
0.00027747356292833636,6.721335757036433e-36
0.00027907623893508966,6.519931606776429e-36
0.00028068817193323194,6.324756003005061e-36
0.00028230941539076785,6.135611332564153e-36
0.00028394002308453314,5.95230637681765e-36
0.00028558004910197424,5.774656101689229e-36
0.0002872295478429457,5.602481454665936e-36
0.00028888857402151343,5.4356091685362884e-36
0.0002905571826677683,5.2738715716372634e-36
0.0002922354291296549,5.117106404392255e-36
0.00029392336907480286,4.96515664193102e-36
0.0002956210584923782,4.8178703225868e-36
0.00029732855369493595,4.675100382076103e-36
0.00029904591132029143,4.53670449316982e-36
0.0003007731883333976,4.402544910673459e-36
0.0003025104420282335,4.272488321538852e-36
0.000304257730029708,4.146405699935806e-36
0.000306015110295567,4.0241721671190794e-36
0.00030778264111831907,3.905666855929592e-36
0.0003095603811271677,3.7907727797762724e-36
0.0003113483892899563,3.6793767059485515e-36
0.00031314672491512455,3.5713690331153674e-36
0.0003149554476536738,3.466643672871196e-36
0.00031677461750114947,3.365097935193798e-36
0.00031860429479962655,3.266632417684191e-36
