freq_Hz,Sn_1_per_Hz,hc_sensitivity
2.6620279209430108e-05,5.567331492233075e-30,1.2173903185695934e-17
2.6774036858741866e-05,5.3785503894236076e-30,1.2000229430016248e-17
2.6928682605978422e-05,5.196174151820373e-30,1.182903734459233e-17
2.7084221580757127e-05,5.019985397818673e-30,1.1660291456335307e-17
2.724065894232403e-05,4.849774125602139e-30,1.1493956799241748e-17
2.73979998797246e-05,4.685337462568217e-30,1.1329998907145276e-17
2.7556249611976015e-05,4.526479423261963e-30,1.1168383806571113e-17
2.771541338824047e-05,4.373010675529968e-30,1.1009078009692809e-17
2.7875496487998863e-05,4.2247483146157466e-30,1.0852048507390222e-17
2.8036504221226397e-05,4.08151564492551e-30,1.0697262762405889e-17
2.8198441928568244e-05,3.943141969205538e-30,1.054468870260012e-17
2.836131498151716e-05,3.80946238487772e-30,1.0394294714301618e-17
2.8525128782591235e-05,3.680317587291839e-30,1.0246049635754024e-17
2.8689888765513302e-05,3.555553679658312e-30,1.0099922750655496e-17
2.8855600395391326e-05,3.435021989435201e-30,9.955883781790761e-18
2.9022269168899274e-05,3.318578890950608e-30,9.813902884754657e-18
2.9189900614459916e-05,3.206085634047636e-30,9.673950641764625e-18
2.935850029242773e-05,3.0974081785487586e-30,9.5359980555625e-18
2.9528073795273815e-05,2.9924170343405773e-30,9.400016543402623e-18
2.9698626747770974e-05,2.890987106889416e-30,9.265977931126699e-18
2.987016480718047e-05,2.7929975480022635e-30,9.133854447322804e-18
3.0042693663439857e-05,2.698331611655421e-30,9.00361871756794e-18
3.0216219039351297e-05,2.606876514719005e-30,8.875243758753341e-18
3.039074669077186e-05,2.5185233024102635e-30,8.748702973490216e-18
3.056628240680404e-05,2.4331667183160608e-30,8.623970144596126e-18
3.074283200998794e-05,2.350705078828589e-30,8.501019429659762e-18
3.092040135649462e-05,2.2710401518447495e-30,8.379825355683384e-18
3.1098996336319864e-05,2.194077039584707e-30,8.26036281380233e-18
3.127862287348013e-05,2.1197240653889783e-30,8.1426070540793e-18
3.145928692620846e-05,2.0478926643598902e-30,8.02653368037382e-18
3.164099448715268e-05,1.9784972777158993e-30,7.912118645284293e-18
3.182375158357365e-05,1.911455250733594e-30,7.79933824516307e-18
3.200756427754569e-05,1.8466867341547074e-30,7.688169115202119e-18
3.2192438666157245e-05,1.7841145889412317e-30,7.578588224589521e-18
3.237838088171326e-05,1.7236642942643576e-30,7.470572871734861e-18
3.256539709193886e-05,1.6652638586176302e-30,7.36410067956281e-18
3.2753493500183396e-05,1.608843733948482e-30,7.259149590874428e-18
3.29426763456268e-05,1.5543367327050732e-30,7.155697863774173e-18
3.3132951903486055e-05,1.5016779477000793e-30,7.053724067162847e-18
3.3324326485223535e-05,1.4508046746952642e-30,6.953207076294615e-18
3.351680643875656e-05,1.4016563376146532e-30,6.854126068397542e-18
3.371039814866751e-05,1.3541744162971916e-30,6.75646051835706e-18
3.3905108036416105e-05,1.3083023767022541e-30,6.660190194460657e-18
3.4100942560551895e-05,1.2639856034851969e-30,6.565295154203901e-18
3.429790821692902e-05,1.2211713348619903e-30,6.4717557401559305e-18
3.449601153892112e-05,1.1798085996856621e-30,6.379552575884532e-18
3.469525909763864e-05,1.139848156658985e-30,6.288666561938968e-18
3.4895657502146265e-05,1.1012424356113173e-30,6.1990788718907176e-18
3.5097213399682365e-05,1.063945480769139e-30,6.110770948430494e-18
3.5299933475879706e-05,1.0279128959527224e-30,6.023724499521036e-18
3.550382445498672e-05,9.931017916336804e-31,5.937921494605245e-18
3.570889310009109e-05,9.594707337898557e-31,5.8533441608680344e-18
3.5915146213343635e-05,9.269796944969083e-31,5.769974979552084e-18
3.612259063618408e-05,8.955900041973238e-31,5.68779668232597e-18
3.633123324956828e-05,8.652643055899936e-31,5.606792247704189e-18
3.65410809741959e-05,8.359665090854597e-31,5.52694489751867e-18
3.675214077074059e-05,8.07661749773383e-31,5.448238093440303e-18
3.696441964008032e-05,7.803163458511936e-31,5.37065553355059e-18
3.717792462352989e-05,7.538977584640621e-31,5.2941811489620414e-18
3.739266280307463e-05,7.283745529083674e-31,5.218799100486895e-18
3.760864130160485e-05,7.037163611524488e-31,5.144493775353709e-18
3.782586728315269e-05,6.7989384562968545e-31,5.071249783970494e-18
3.804434795312912e-05,6.568786642609858e-31,4.9990519567345594e-18
3.8264090558563617e-05,6.346434366646437e-31,4.927885340887505e-18
3.848510238834386e-05,6.131617115135371e-31,4.857735197415626e-18
3.870739077345816e-05,5.924079350004335e-31,4.788586997994208e-18
3.8930963087238115e-05,5.723574203740186e-31,4.7204264219758526e-18
3.915582674560336e-05,5.529863185091137e-31,4.653239353421646e-18
3.938198920730781e-05,5.342715894760307e-31,4.587011878174748e-18
3.960945797418655e-05,5.1619097507520755e-31,4.521730280976057e-18
3.9838240591405245e-05,4.987229723041862e-31,4.457381042620757e-18
4.0068344647709924e-05,4.818468077254609e-31,4.3939508371558485e-18
4.029977777567888e-05,4.655424127044615e-31,4.3314265291175356e-18
4.053254765197611e-05,4.497903994881791e-31,4.2697951708080785e-18
4.07666619976054e-05,4.345720380959532e-31,4.209043999611815e-18
4.100212857816705e-05,4.198692339947013e-31,4.1491604353492106e-18
4.123895520411484e-05,4.056645065321252e-31,4.090132077669089e-18
4.1477149731015736e-05,3.919409681019876e-31,4.031946703477788e-18
4.17167200598098e-05,3.7868230401676855e-31,3.97459226440541e-18
4.195767413707293e-05,3.658727530635213e-31,3.918056884307957e-18
4.22000199552799e-05,3.534970887198831e-31,3.862328856805492e-18
4.2443765553069674e-05,3.4154060100770475e-31,3.807396642855264e-18
