freq_Hz,h_c_instrument_only,h_c_instrument_plus_confusion
6.35186780e-05,1.40067470e-18,1.40067470e-18
6.38855593e-05,1.38087831e-18,1.38087831e-18
6.42545597e-05,1.36136424e-18,1.36136424e-18
6.46256914e-05,1.34212843e-18,1.34212843e-18
6.49989668e-05,1.32316691e-18,1.32316691e-18
6.53743982e-05,1.30447578e-18,1.30447578e-18
6.57519980e-05,1.28605115e-18,1.28605115e-18
6.61317789e-05,1.26788922e-18,1.26788923e-18
6.65137534e-05,1.24998625e-18,1.24998625e-18
6.68979341e-05,1.23233853e-18,1.23233853e-18
6.72843338e-05,1.21494240e-18,1.21494240e-18
6.76729654e-05,1.19779429e-18,1.19779429e-18
6.80638417e-05,1.18089064e-18,1.18089064e-18
6.84569757e-05,1.16422795e-18,1.16422795e-18
6.88523804e-05,1.14780280e-18,1.14780280e-18
6.92500689e-05,1.13161178e-18,1.13161178e-18
6.96500545e-05,1.11565155e-18,1.11565155e-18
7.00523504e-05,1.09991880e-18,1.09991880e-18
7.04569699e-05,1.08441030e-18,1.08441030e-18
7.08639265e-05,1.06912284e-18,1.06912284e-18
7.12732337e-05,1.05405325e-18,1.05405325e-18
7.16849050e-05,1.03919842e-18,1.03919842e-18
7.20989541e-05,1.02455529e-18,1.02455530e-18
7.25153947e-05,1.01012084e-18,1.01012084e-18
7.29342407e-05,9.95892072e-19,9.95892072e-19
7.33555059e-05,9.81866057e-19,9.81866057e-19
7.37792043e-05,9.68039896e-19,9.68039896e-19
7.42053500e-05,9.54410734e-19,9.54410734e-19
7.46339570e-05,9.40975756e-19,9.40975756e-19
7.50650397e-05,9.27732187e-19,9.27732188e-19
7.54986124e-05,9.14677294e-19,9.14677294e-19
7.59346893e-05,9.01808380e-19,9.01808381e-19
7.63732849e-05,8.89122789e-19,8.89122789e-19
7.68144139e-05,8.76617900e-19,8.76617900e-19
7.72580909e-05,8.64291133e-19,8.64291133e-19
7.77043304e-05,8.52139942e-19,8.52139943e-19
7.81531475e-05,8.40161820e-19,8.40161820e-19
7.86045569e-05,8.28354293e-19,8.28354293e-19
7.90585736e-05,8.16714924e-19,8.16714924e-19
7.95152127e-05,8.05241310e-19,8.05241310e-19
7.99744894e-05,7.93931085e-19,7.93931085e-19
8.04364187e-05,7.82781913e-19,7.82781913e-19
8.09010162e-05,7.71791493e-19,7.71791493e-19
8.13682972e-05,7.60957558e-19,7.60957558e-19
8.18382772e-05,7.50277872e-19,7.50277872e-19
8.23109717e-05,7.39750231e-19,7.39750231e-19
8.27863966e-05,7.29372463e-19,7.29372463e-19
8.32645674e-05,7.19142428e-19,7.19142428e-19
8.37455002e-05,7.09058014e-19,7.09058014e-19
8.42292108e-05,6.99117141e-19,6.99117141e-19
8.47157153e-05,6.89317759e-19,6.89317759e-19
8.52050298e-05,6.79657846e-19,6.79657847e-19
8.56971706e-05,6.70135411e-19,6.70135411e-19
8.61921539e-05,6.60748488e-19,6.60748488e-19
8.66899963e-05,6.51495142e-19,6.51495143e-19
8.71907142e-05,6.42373466e-19,6.42373466e-19
8.76943242e-05,6.33381577e-19,6.33381578e-19
8.82008431e-05,6.24517623e-19,6.24517623e-19
8.87102876e-05,6.15779775e-19,6.15779775e-19
8.92226746e-05,6.07166232e-19,6.07166232e-19
8.97380211e-05,5.98675218e-19,5.98675219e-19
9.02563443e-05,5.90304984e-19,5.90304984e-19
9.07776612e-05,5.82053803e-19,5.82053803e-19
9.13019893e-05,5.73919975e-19,5.73919976e-19
9.18293459e-05,5.65901825e-19,5.65901825e-19
9.23597484e-05,5.57997698e-19,5.57997698e-19
9.28932146e-05,5.50205968e-19,5.50205968e-19
9.34297620e-05,5.42525027e-19,5.42525027e-19
9.39694085e-05,5.34953294e-19,5.34953294e-19
9.45121720e-05,5.27489209e-19,5.27489209e-19
9.50580705e-05,5.20131234e-19,5.20131234e-19
9.56071220e-05,5.12877854e-19,5.12877854e-19
9.61593449e-05,5.05727574e-19,5.05727574e-19
9.67147573e-05,4.98678922e-19,4.98678922e-19
9.72733778e-05,4.91730446e-19,4.91730446e-19
9.78352249e-05,4.84880715e-19,4.84880715e-19
9.84003172e-05,4.78128320e-19,4.78128320e-19
9.89686734e-05,4.71471869e-19,4.71471869e-19
9.95403124e-05,4.64909992e-19,4.64909993e-19
1.00115253e-04,4.58441339e-19,4.58441340e-19
1.00693515e-04,4.52064579e-19,4.52064579e-19
1.01275116e-04,4.45778397e-19,4.45778398e-19
1.01860077e-04,4.39581502e-19,4.39581502e-19
1.02448417e-04,4.33472617e-19,4.33472618e-19
1.03040155e-04,4.27450487e-19,4.27450487e-19
1.03635311e-04,4.21513870e-19,4.21513870e-19
1.04233904e-04,4.15661547e-19,4.15661547e-19
1.04835955e-04,4.09892313e-19,4.09892314e-19
1.05441483e-04,4.04204983e-19,4.04204983e-19
1.06050509e-04,3.98598385e-19,3.98598385e-19
1.06663052e-04,3.93071367e-19,3.93071367e-19
1.07279134e-04,3.87622793e-19,3.87622793e-19
1.07898774e-04,3.82251542e-19,3.82251542e-19
1.08521992e-04,3.76956509e-19,3.76956510e-19
1.09148811e-04,3.71736608e-19,3.71736608e-19
1.09779250e-04,3.66590764e-19,3.66590764e-19
1.10413331e-04,3.61517919e-19,3.61517920e-19
1.11051074e-04,3.56517032e-19,3.56517033e-19
1.11692500e-04,3.51587075e-19,3.51587076e-19
1.12337631e-04,3.46727035e-19,3.46727036e-19
1.12986489e-04,3.41935914e-19,3.41935914e-19
1.13639094e-04,3.37212726e-19,3.37212726e-19
1.14295469e-04,3.32556503e-19,3.32556503e-19
1.14955635e-04,3.27966287e-19,3.27966288e-19
1.15619614e-04,3.23441137e-19,3.23441138e-19
1.16287428e-04,3.18980124e-19,3.18980124e-19
1.16959100e-04,3.14582330e-19,3.14582330e-19
1.17634651e-04,3.10246854e-19,3.10246855e-19
1.18314104e-04,3.05972806e-19,3.05972806e-19
1.18997481e-04,3.01759309e-19,3.01759309e-19
1.19684806e-04,2.97605497e-19,2.97605497e-19
1.20376100e-04,2.93510519e-19,2.93510520e-19
1.21071388e-04,2.89473535e-19,2.89473536e-19
1.21770691e-04,2.85493717e-19,2.85493717e-19
1.22474034e-04,2.81570248e-19,2.81570248e-19
1.23181439e-04,2.77702324e-19,2.77702324e-19
1.23892930e-04,2.73889151e-19,2.73889151e-19
1.24608530e-04,2.70129948e-19,2.70129949e-19
1.25328264e-04,2.66423945e-19,2.66423945e-19
1.26052155e-04,2.62770382e-19,2.62770382e-19
1.26780227e-04,2.59168509e-19,2.59168510e-19
1.27512505e-04,2.55617590e-19,2.55617591e-19
1.28249012e-04,2.52116897e-19,2.52116897e-19
1.28989773e-04,2.48665711e-19,2.48665712e-19
1.29734812e-04,2.45263328e-19,2.45263328e-19
1.30484155e-04,2.41909050e-19,2.41909050e-19
1.31237827e-04,2.38602189e-19,2.38602190e-19
1.31995851e-04,2.35342070e-19,2.35342071e-19
1.32758254e-04,2.32128025e-19,2.32128025e-19
1.33525060e-04,2.28959396e-19,2.28959396e-19
1.34296295e-04,2.25835535e-19,2.25835535e-19
1.35071985e-04,2.22755802e-19,2.22755803e-19
1.35852155e-04,2.19719569e-19,2.19719569e-19
1.36636832e-04,2.16726213e-19,2.16726213e-19
1.37426041e-04,2.13775122e-19,2.13775123e-19
1.38219808e-04,2.10865694e-19,2.10865695e-19
1.39018160e-04,2.07997334e-19,2.07997334e-19
1.39821123e-04,2.05169455e-19,2.05169455e-19
1.40628724e-04,2.02381479e-19,2.02381480e-19
1.41440990e-04,1.99632837e-19,1.99632838e-19
1.42257947e-04,1.96922968e-19,1.96922969e-19
1.43079624e-04,1.94251318e-19,1.94251318e-19
1.43906046e-04,1.91617341e-19,1.91617342e-19
1.44737241e-04,1.89020500e-19,1.89020500e-19
1.45573238e-04,1.86460265e-19,1.86460265e-19
1.46414063e-04,1.83936113e-19,1.83936113e-19
1.47259744e-04,1.81447528e-19,1.81447529e-19
1.48110311e-04,1.78994005e-19,1.78994005e-19
1.48965790e-04,1.76575041e-19,1.76575042e-19
1.49826210e-04,1.74190145e-19,1.74190145e-19
1.50691600e-04,1.71838829e-19,1.71838829e-19
1.51561989e-04,1.69520614e-19,1.69520615e-19
1.52437405e-04,1.67235029e-19,1.67235029e-19
1.53317877e-04,1.64981606e-19,1.64981607e-19
1.54203435e-04,1.62759888e-19,1.62759889e-19
1.55094107e-04,1.60569422e-19,1.60569422e-19
1.55989925e-04,1.58409761e-19,1.58409762e-19
1.56890916e-04,1.56280467e-19,1.56280468e-19
1.57797112e-04,1.54181106e-19,1.54181106e-19
1.58708541e-04,1.52111250e-19,1.52111250e-19
1.59625235e-04,1.50070479e-19,1.50070479e-19
